רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
	בראשית	ל	כה	בראשית	ל	מג	יעקב	Yaakov	יעקב בחרן		התעשרות יעקב	Yaakov's Success															
	בראשית	לא	א	בראשית	לא	כא	יעקב	Yaakov	יעקב בחרן		בריחת יעקב מבית לבן	Yaakov Flees from Lavan's Home															
	בראשית	לא	כב	בראשית	לא	נד	יעקב	Yaakov	יעקב בחרן		פגישת לבן ויעקב	Lavan and Yaakov Meet
	בראשית	לב	א	בראשית	לה	כט	יעקב	Yaakov	חזרת יעקב לארץ כנען	Yaakov Returns to Canaan																	
	בראשית	לב	א	בראשית	לב	ב	יעקב	Yaakov	חזרת יעקב לארץ כנען		התגלות מלאכים ליעקב	Yaakov's Revelation															
	בראשית	לב	ג	בראשית	לב	כג	יעקב	Yaakov	חזרת יעקב לארץ כנען		ההכנות לפגישה עם עשו	Yaakov Prepares to Meet Esav															
	בראשית	לב	כד	בראשית	לב	לב	יעקב	Yaakov	חזרת יעקב לארץ כנען		המאבק עם המלאך	The Struggle with the Angel															
	בראשית	לג	א	בראשית	לג	יז	יעקב	Yaakov	חזרת יעקב לארץ כנען		הפגישה עם עשו	Yaakov and Esav Meet															
	בראשית	לג	יח	בראשית	לג	כ	יעקב	Yaakov	חזרת יעקב לארץ כנען		הצבת מזבח בשכם	Yaakov Erects an Altar in Shechem															
	בראשית	לד	א	בראשית	לד	לא	יעקב	Yaakov	חזרת יעקב לארץ כנען		מעשה דינה בשכם	Deena in Shechem															
	בראשית	לה	א	בראשית	לה	טו	יעקב	Yaakov	חזרת יעקב לארץ כנען		יעקב בבית אל	Yaakov in Beit El															
	בראשית	לה	טז	בראשית	לה	כא	יעקב	Yaakov	חזרת יעקב לארץ כנען		לידת בנימין ומות רחל	Rachel Dies Giving Birth to Binyamin															
	בראשית	לה	כב	בראשית	לה	כב	יעקב	Yaakov	חזרת יעקב לארץ כנען		מעשה ראובן ובלהה	Reuven and Bilhah															
	בראשית	לה	כג	בראשית	לה	כט	יעקב	Yaakov	חזרת יעקב לארץ כנען		שמות בני יעקב ומות יצחק	Yaakov's Descendants and Yitzhak's Death															
	בראשית	לו	א	בראשית	לו	מג	יעקב	Yaakov	תולדות עשו	Esav's Descendants																	
5	בראשית	לז	א	בראשית	נ	כו	יוסף ואחיו	Yosef																			
	בראשית	לז	א	בראשית	לז	לו	יוסף ואחיו	Yosef	מכירת יוסף	The Selling of Yosef																	
	בראשית	לז	א	בראשית	לז	ד	יוסף ואחיו	Yosef	מכירת יוסף		התנהגות יוסף ואהבת יעקב	Yosef's Behavior and Yaakov's Love															
	בראשית	לז	ה	בראשית	לז	יא	יוסף ואחיו	Yosef	מכירת יוסף		חלומות יוסף	Yosef's Dreams															
	בראשית	לז	יב	בראשית	לז	ל	יוסף ואחיו	Yosef	מכירת יוסף		המכירה	The Selling of Yosef															
	בראשית	לז	לא	בראשית	לז	לו	יוסף ואחיו	Yosef	מכירת יוסף		הבאת הכתונת ואבל יעקב	Yosef's Coat is Brought and Yaakov Mourns															
	בראשית	לח	א	בראשית	לח	ל	יוסף ואחיו	Yosef	מעשה יהודה ותמר	Yehuda and Tamar																	
	בראשית	לח	א	בראשית	לח	ה	יוסף ואחיו	Yosef	מעשה יהודה ותמר		נישואי יהודה ולידת בניו	Yehuda's Marriage and Sons															
	בראשית	לח	ו	בראשית	לח	יא	יוסף ואחיו	Yosef	מעשה יהודה ותמר		חטאי ער ואונן ומותם	The Sin and Death of Er and Onan															
	בראשית	לח	יב	בראשית	לח	כו	יוסף ואחיו	Yosef	מעשה יהודה ותמר		מעשה תמר	The Incident with Tamar															
	בראשית	לח	כז	בראשית	לח	ל	יוסף ואחיו	Yosef	מעשה יהודה ותמר		לידת פרץ וזרח	The Birth of Zerah and Peretz															
	בראשית	לט	א	בראשית	לט	כ	יוסף ואחיו	Yosef	יוסף בבית פוטיפר	Yosef in Potiphar's House																	
	בראשית	לט	א	בראשית	לט	ו	יוסף ואחיו	Yosef	יוסף בבית פוטיפר		הצלחת יוסף בבית פוטיפר	Yosef's Success in Potiphar's House															
	בראשית	לט	ז	בראשית	לט	יח	יוסף ואחיו	Yosef	יוסף בבית פוטיפר		אשת פוטיפר ויוסף	Yosef and Potiphar's Wife															
	בראשית	לט	יט	בראשית	לט	כ	יוסף ואחיו	Yosef	יוסף בבית פוטיפר		הכנסת יוסף לבית הסוהר	Yosef is Sent to Jail															
	בראשית	לט	כא	בראשית	מ	כג	יוסף ואחיו	Yosef	יוסף בבית הסוהר	Yosef in Jail																	
	בראשית	לט	כ	בראשית	לט	כג	יוסף ואחיו	Yosef	יוסף בבית הסוהר		הצלחת יוסף בבית הסוהר	Yosef's Success in Jail															
	בראשית	מ	א	בראשית	מ	יט	יוסף ואחיו	Yosef	יוסף בבית הסוהר		חלומות שרי פרעה	The Dreams of the Cup-Bearer and Chief Baker															
	בראשית	מ	כ	בראשית	מ	כג	יוסף ואחיו	Yosef	יוסף בבית הסוהר		התגשמות החלומות	Yosef's Interpretation is Realized															
	בראשית	מא	א	בראשית	מא	נז	יוסף ואחיו	Yosef	עליית יוסף לגדולה	Yosef's Rise to Power																	
	בראשית	מא	א	בראשית	מא	ז	יוסף ואחיו	Yosef	עליית יוסף לגדולה		חלומות פרעה	Pharaoh's Dreams															
	בראשית	מא	ח	בראשית	מא	יד	יוסף ואחיו	Yosef	עליית יוסף לגדולה		יוסף לפני פרעה	Yosef is Brought Before Pharaoh															
	בראשית	מא	טו	בראשית	מא	לז	יוסף ואחיו	Yosef	עליית יוסף לגדולה		סיפור החלומות ליוסף ופתרונם	Yosef Interprets Pharaoh's Dreams															
	בראשית	מא	לח	בראשית	מא	מו	יוסף ואחיו	Yosef	עליית יוסף לגדולה		מינוי יוסף לשליט מצרים	Yosef is Placed in Charge of Egypt															
	בראשית	מא	מז	בראשית	מא	נב	יוסף ואחיו	Yosef	עליית יוסף לגדולה		שנות השובע ולידת בני יוסף	The Years of Plenty and Birth of Yosef's Sons															
	בראשית	מא	נג	בראשית	מא	נז	יוסף ואחיו	Yosef	עליית יוסף לגדולה		תחילת הרעב	The Famine															
	בראשית	מב	א	בראשית	מה	כח	יוסף ואחיו	Yosef	אחי יוסף במצרים	Yosef's Brothers in Egypt																	
	בראשית	מב	א	בראשית	מב	ה	יוסף ואחיו	Yosef	אחי יוסף במצרים		ירידת האחים למצרים	The Brothers Descend to Egypt															
	בראשית	מב	ו	בראשית	מב	כה	יוסף ואחיו	Yosef	אחי יוסף במצרים		התנכרות יוסף לאחים	Yosef Acts as a Stranger toward his Brothers															
	בראשית	מב	כו	בראשית	מב	לח	יוסף ואחיו	Yosef	אחי יוסף במצרים		חזרת האחים לכנען	The Brothers Return to Canaan															
	בראשית	מג	א	בראשית	מג	יד	יוסף ואחיו	Yosef	אחי יוסף במצרים		הורדת בנימין למצרים	Binyamin is Brought to Egypt															
	בראשית	מג	טו	בראשית	מג	לד	יוסף ואחיו	Yosef	אחי יוסף במצרים		האחים בבית יוסף	The Brothers in the House of Yosef															
	בראשית	מד	א	בראשית	מד	יז	יוסף ואחיו	Yosef	אחי יוסף במצרים		עלילת הגביע	The Plot of the Silver Cup															
	בראשית	מד	יח	בראשית	מד	לד	יוסף ואחיו	Yosef	אחי יוסף במצרים		נאום יהודה	Yehuda's Speech															
	בראשית	מה	א	בראשית	מה	טו	יוסף ואחיו	Yosef	אחי יוסף במצרים		התוודעות יוסף לאחיו	Yosef Reveals his Identity to his Brothers															
	בראשית	מה	טז	בראשית	מה	כה	יוסף ואחיו	Yosef	אחי יוסף במצרים		הזמנת פרעה את יעקב ובניו	Pharaoh Invites Yaakov and his Sons															
