רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																
	דברים	כז	ט	דברים	כז	י	נאום הברית	מעמד הברית בהר גריזים והר עיבל	פתיחה לברכות ולקללות																
	דברים	כז	יא	דברים	כז	יג	נאום הברית	מעמד הברית בהר גריזים והר עיבל	השבטים שיעמדו לברך ושיעמדו על הקללה																
	דברים	כז	יד	דברים	כז	כו	נאום הברית	מעמד הברית בהר גריזים והר עיבל	אמירת הארורים על ידי הלויים																
	דברים	כח	א	דברים	כח	סט	נאום הברית	ברית ערבות מואב																	
	דברים	כח	א	דברים	כח	יד	נאום הברית	ברית ערבות מואב	הברכות בשכר שמירת המצוות																
	דברים	כח	טו	דברים	כח	סח	נאום הברית	ברית ערבות מואב	הקללות על אי שמירת המצוות																
	דברים	כח	סט	דברים	כח	סט	נאום הברית	ברית ערבות מואב	חתימה לברית ערבות מואב																
	דברים	כט	א	דברים	כט	כח	נאום הברית	חיזוק לדברי הברית																	
	דברים	כט	א	דברים	כט	ח	נאום הברית	חיזוק לדברי הברית	ניסי העבר כבסיס לשמירת הברית																
	דברים	כט	ט	דברים	כט	יד	נאום הברית	חיזוק לדברי הברית	הברית לכל העם לדורותיו																
	דברים	כט	טו	דברים	כט	כח	נאום הברית	חיזוק לדברי הברית	העונש למפירי הברית																
	דברים	ל	א	דברים	ל	כ	נאום הברית	סיום הברית																	
	דברים	ל	א	דברים	ל	י	נאום הברית	סיום הברית	התשובה בעקבות הברית																
	דברים	ל	יא	דברים	ל	יד	נאום הברית	סיום הברית	"""בפיך ובלבבך לעשותו"""																
	דברים	ל	טו	דברים	ל	כ	נאום הברית	סיום הברית	הקריאה לבחור בטוב ובחיים																
	דברים	לא	א	דברים	לד	יב	פרידת משה וחתימת התורה																		
	דברים	לא	א	דברים	לא	יג	פרידת משה וחתימת התורה	דברי משה לכל ישראל																	
	דברים	לא	א	דברים	לא	ח	פרידת משה וחתימת התורה	דברי משה לכל ישראל	דברי חיזוק לעם וליהושע																
	דברים	לא	ט	דברים	לא	יג	פרידת משה וחתימת התורה	דברי משה לכל ישראל	כתיבת התורה ומצוות הקהל																
	דברים	לא	יד	דברים	לא	כז	פרידת משה וחתימת התורה	דברי ה' אל משה ויהושע																	
	דברים	לא	יד	דברים	לא	יח	פרידת משה וחתימת התורה	דברי ה' אל משה ויהושע	הפורענות בעקבות הפרת הברית																
	דברים	לא	יט	דברים	לא	כג	פרידת משה וחתימת התורה	דברי ה' אל משה ויהושע	כתיבת השירה כעדות																
	דברים	לא	כד	דברים	לא	כז	פרידת משה וחתימת התורה	דברי ה' אל משה ויהושע	שימת התורה בארון כעדות																
	דברים	לא	כח	דברים	לב	מז	פרידת משה וחתימת התורה	שירת האזינו																	
	דברים	לא	כח	דברים	לא	ל	פרידת משה וחתימת התורה	שירת האזינו	הקהלת העם לשמיעת השירה																
	דברים	לב	א	דברים	לב	מג	פרידת משה וחתימת התורה	שירת האזינו	השירה																
	דברים	לב	מד	דברים	לב	מז	פרידת משה וחתימת התורה	שירת האזינו	חיזוק העם לשמור את התורה																
	דברים	לב	מח	דברים	לד	יב	פרידת משה וחתימת התורה	מות משה וסיום התורה																	
	דברים	לב	מח	דברים	לב	נב	פרידת משה וחתימת התורה	מות משה וסיום התורה	ציווי למשה לעלות להר נבו																
	דברים	לג	א	דברים	לג	כט	פרידת משה וחתימת התורה	מות משה וסיום התורה	ברכות משה לשבטים ולעם																
	דברים	לד	א	דברים	לד	ד	פרידת משה וחתימת התורה	מות משה וסיום התורה	משה בהר נבו																
	דברים	לד	ה	דברים	לד	ט	פרידת משה וחתימת התורה	מות משה וסיום התורה	מות משה והתמנות יהושע																
	דברים	לד	י	דברים	לד	יב	פרידת משה וחתימת התורה	מות משה וסיום התורה	חתימת התורה - ייחוד נבואת משה																
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
